Label,Name,Nillable,Picklistvalues,Referenceto,Relationshipname,Type,Unique,Updateable
Record ID,Id,FALSE,--,--,null,id,FALSE,FALSE
Owner ID,OwnerId,FALSE,--,"[ ""Group"", ""User"" ]",Owner,reference,FALSE,TRUE
Deleted,IsDeleted,FALSE,--,--,null,boolean,FALSE,FALSE
Financial Goal Name,Name,TRUE,--,--,null,string,FALSE,TRUE
Created Date,CreatedDate,FALSE,--,--,null,datetime,FALSE,FALSE
Created By ID,CreatedById,FALSE,--,"[ ""User"" ]",CreatedBy,reference,FALSE,FALSE
Last Modified Date,LastModifiedDate,FALSE,--,--,null,datetime,FALSE,FALSE
Last Modified By ID,LastModifiedById,FALSE,--,"[ ""User"" ]",LastModifiedBy,reference,FALSE,FALSE
System Modstamp,SystemModstamp,FALSE,--,--,null,datetime,FALSE,FALSE
Last Activity Date,LastActivityDate,TRUE,--,--,null,date,FALSE,FALSE
Last Viewed Date,LastViewedDate,TRUE,--,--,null,datetime,FALSE,FALSE
Last Referenced Date,LastReferencedDate,TRUE,--,--,null,datetime,FALSE,FALSE
Actual Value,FinServ__ActualValue__c,TRUE,--,--,null,currency,FALSE,TRUE
Completion Date,FinServ__CompletionDate__c,TRUE,--,--,null,date,FALSE,TRUE
Description,FinServ__Description__c,TRUE,--,--,null,textarea,FALSE,TRUE
Household,FinServ__Household__c,TRUE,--,"[ ""Account"" ]",FinServ__Household__r,reference,FALSE,TRUE
Initial Value,FinServ__InitialValue__c,TRUE,--,--,null,currency,FALSE,TRUE
Primary Owner,FinServ__PrimaryOwner__c,FALSE,--,"[ ""Account"" ]",FinServ__PrimaryOwner__r,reference,FALSE,TRUE
Source System ID,FinServ__SourceSystemId__c,TRUE,--,--,null,string,FALSE,TRUE
Status,FinServ__Status__c,TRUE,"[ ""Not Started"" , ""In Progress"" , ""Completed"" ]",--,null,picklist,FALSE,TRUE
Target Date,FinServ__TargetDate__c,TRUE,--,--,null,date,FALSE,TRUE
Target Value,FinServ__TargetValue__c,TRUE,--,--,null,currency,FALSE,TRUE
Type,FinServ__Type__c,TRUE,"[ ""Retirement"" , ""Home Purchase"" , ""Education"" , ""Other"" ]",--,null,picklist,FALSE,TRUE
